City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Porto Velho,BR,2022-03-09 23:52:27,-8.7619,-63.9039,75.25,94,75,1.14
202,East London,ZA,2022-03-09 23:55:33,-33.0153,27.9116,71.35,88,50,6.71
203,Vilcun,CL,2022-03-09 23:55:34,-38.65,-72.2333,57.94,70,0,3.67
204,Aksu,CN,2022-03-09 23:55:34,41.1231,80.2644,45.99,30,45,2.71
205,Murchison,NZ,2022-03-09 23:55:34,-41.8,172.3333,79.12,39,3,1.05
206,Kruisfontein,ZA,2022-03-09 23:55:35,-34.0033,24.7314,69.08,80,60,13.65
207,Yaan,NG,2022-03-09 23:55:35,7.3833,8.5667,83.23,54,100,9.46
208,Goderich,CA,2022-03-09 23:51:33,43.7501,-81.7165,37.72,60,77,12.66
209,Cherskiy,RU,2022-03-09 23:55:36,68.75,161.3,12.09,80,53,3.04
210,Cariamanga,EC,2022-03-09 23:55:37,-4.3333,-79.55,63.37,93,92,2.15
211,Storforshei,NO,2022-03-09 23:55:37,66.4043,14.5233,28.65,87,93,5.39
212,Balkanabat,TM,2022-03-09 23:55:37,39.5108,54.3671,60.58,54,99,3.29
213,Riyadh,SA,2022-03-09 23:55:38,24.6877,46.7219,73.54,21,14,11.39
214,Marrakesh,MA,2022-03-09 23:55:38,31.6315,-8.0083,55.56,78,30,5.75
215,Guanica,PR,2022-03-09 23:55:39,17.9716,-66.908,80.06,77,3,1.99
216,Chokurdakh,RU,2022-03-09 23:55:39,70.6333,147.9167,-16.08,99,99,2.35
217,Torres,BR,2022-03-09 23:55:40,-29.3353,-49.7269,78.82,91,84,6.31
218,Carauari,BR,2022-03-09 23:55:40,-4.8828,-66.8958,75.29,87,79,1.77
219,Mao,ES,2022-03-09 23:51:50,39.8885,4.2658,50.56,81,75,6.91
220,Mar Del Plata,AR,2022-03-09 23:55:41,-38.0023,-57.5575,66.22,72,0,8.05
221,Port Elizabeth,ZA,2022-03-09 23:53:19,-33.918,25.5701,73.69,68,0,25.32
222,Yar-Sale,RU,2022-03-09 23:55:41,66.8333,70.8333,-8.27,85,99,11.16
223,Conselheiro Pena,BR,2022-03-09 23:55:42,-19.1722,-41.4722,73.08,91,34,3.89
224,Pemba,MZ,2022-03-09 23:55:42,-12.974,40.5178,76.78,87,100,7.74
225,Lannion,FR,2022-03-09 23:55:42,48.75,-3.4167,50.68,85,100,9.22
226,Talaya,RU,2022-03-09 23:55:43,61.3833,152.75,1.08,98,100,0.38
227,Namwala,ZM,2022-03-09 23:55:43,-15.7504,26.4384,64.94,98,100,4.07
228,Alto Araguaia,BR,2022-03-09 23:55:44,-17.3147,-53.2153,72.39,73,16,3.76
229,Sao Joao Da Barra,BR,2022-03-09 23:56:45,-21.6403,-41.0511,77.99,86,0,9.86
